# x,y,<bush>,<cookie>,<shadow>,<visibility>
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1227,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1788,1228,0,0,1,0
1788,1228,0,0,1,0
1788,1228,0,0,1,0
1788,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1230,0,0,1,0
1787,1230,0,0,1,0
1787,1230,0,0,1,0
1787,1230,0,0,1,0
1787,1230,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1788,1228,0,0,1,0
1788,1228,0,0,1,0
1788,1228,0,0,1,0
1788,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1788,1229,0,0,1,0
1788,1229,0,0,1,0
1788,1229,0,0,1,0
1788,1228,0,0,1,0
1789,1228,0,0,1,0
1789,1228,0,0,1,0
1789,1228,0,0,1,0
1788,1228,0,0,1,0
1788,1228,0,0,1,0
1788,1228,0,0,1,0
1788,1227,0,0,1,0
1788,1227,0,0,1,0
1788,1227,0,0,1,0
1788,1227,0,0,1,0
1788,1227,0,0,1,0
1787,1227,0,0,1,0
1788,1227,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1786,1229,0,0,1,0
1786,1229,0,0,1,0
1786,1229,0,0,1,0
1786,1228,0,0,1,0
1786,1228,0,0,1,0
1786,1228,0,0,1,0
1786,1228,0,0,1,0
1787,1228,0,0,1,0
1786,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1786,1229,0,0,1,0
1786,1228,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1228,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1229,0,0,1,0
1787,1228,0,0,1,0
1787,1228,0,0,1,0
1786,1226,0,0,1,0
1785,1224,0,0,1,0
1785,1223,0,0,1,0
1783,1220,0,0,1,0
1784,1221,0,0,1,0
1783,1220,0,0,1,0
1783,1219,0,0,1,0
1783,1220,0,0,1,0
1783,1220,0,0,1,0
1784,1220,0,0,1,0
1784,1220,0,0,1,0
1783,1220,0,0,1,0
1783,1220,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1218,0,0,1,0
1784,1220,0,0,1,0
1784,1219,0,0,1,0
1784,1219,0,0,1,0
1784,1219,0,0,1,0
1784,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1218,0,0,1,0
1783,1218,0,0,1,0
1783,1218,0,0,1,0
1784,1219,0,0,1,0
1784,1219,0,0,1,0
1784,1219,0,0,1,0
1784,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1785,1218,0,0,1,0
1785,1219,0,0,1,0
1785,1219,0,0,1,0
1785,1218,0,0,1,0
1785,1218,0,0,1,0
1785,1218,0,0,1,0
1785,1218,0,0,1,0
1785,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1785,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1219,0,0,1,0
1784,1219,0,0,1,0
1784,1219,0,0,1,0
1784,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1783,1219,0,0,1,0
1785,1219,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1785,1219,0,0,1,0
1784,1219,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1785,1218,0,0,1,0
1785,1218,0,0,1,0
1785,1220,0,0,1,0
1784,1219,0,0,1,0
1784,1218,0,0,1,0
1785,1218,0,0,1,0
1784,1218,0,0,1,0
1785,1218,0,0,1,0
1785,1218,0,0,1,0
1784,1218,0,0,1,0
1785,1218,0,0,1,0
1785,1218,0,0,1,0
1785,1218,0,0,1,0
1784,1218,0,0,1,0
1786,1218,0,0,1,0
1785,1218,0,0,1,0
1784,1217,0,0,1,0
1785,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1217,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1217,0,0,1,0
1784,1218,0,0,1,0
1784,1217,0,0,1,0
1784,1217,0,0,1,0
1783,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1784,1218,0,0,1,0
1783,1217,0,0,1,0
1784,1218,0,0,1,0
1784,1220,0,0,1,0
1784,1220,0,0,1,0
1782,1218,0,0,1,0
1783,1218,0,0,1,0
1783,1217,0,0,1,0
1783,1217,0,0,1,0
1782,1217,0,0,1,0
1782,1217,0,0,1,0
1781,1217,0,0,1,0
1781,1217,0,0,1,0
1780,1217,0,0,1,0
1779,1217,0,0,1,0
1778,1217,0,0,1,0
1777,1217,0,0,1,0
1778,1217,0,0,1,0
1777,1216,0,0,1,0
1777,1216,0,0,0,0
1777,1216,0,0,0,0
1777,1216,0,0,0,0
1777,1217,0,0,0,0
1778,1218,0,0,0,0
1777,1217,0,0,0,0
1777,1216,0,0,0,0
1776,1216,0,0,0,0
1775,1215,0,0,0,0
1774,1214,0,0,0,0
1773,1213,0,0,0,0
1772,1212,0,0,0,0
1771,1211,0,0,1,0
1770,1210,0,0,1,0
1769,1208,0,0,1,0
1768,1207,0,0,1,0
1767,1206,0,0,1,0
1766,1204,0,0,1,0
1766,1203,0,0,1,0
1766,1201,0,0,1,0
1765,1200,0,0,1,0
1765,1199,0,0,1,0
1765,1198,0,0,1,0
1764,1198,0,0,1,0
1763,1197,0,0,1,0
1763,1198,0,0,1,0
1764,1199,0,0,1,0
1764,1198,0,0,1,0
1763,1198,0,0,1,0
1764,1198,0,0,1,0
1765,1198,0,0,1,0
1765,1198,0,0,1,0
1765,1196,0,0,1,0
1765,1195,0,0,1,0
1766,1193,0,0,1,0
1766,1192,0,0,1,0
1767,1190,0,0,1,0
1768,1189,0,0,1,0
1769,1187,0,0,1,0
1769,1184,0,0,1,0
1769,1182,0,0,1,0
1770,1181,0,0,1,0
1769,1181,0,0,1,0
1769,1182,0,0,1,0
1770,1181,0,0,1,0
1770,1181,0,0,1,0
1770,1182,0,0,1,0
1770,1181,0,0,1,0
1771,1179,0,0,1,0
1771,1179,0,0,1,0
1770,1179,0,0,1,0
1770,1178,0,0,1,0
1771,1177,0,0,1,0
1771,1175,0,0,1,0
1771,1175,0,0,1,0
1770,1174,0,0,1,0
1771,1174,0,0,1,0
1771,1173,0,0,1,0
1771,1172,0,0,1,0
1770,1171,0,0,1,0
1770,1169,0,0,1,0
1770,1168,0,0,1,0
1769,1169,0,0,1,0
1770,1169,0,0,1,0
1769,1167,0,0,1,0
1768,1166,0,0,1,0
1767,1164,0,0,1,0
1766,1162,0,0,1,0
1766,1160,0,0,1,0
1765,1159,0,0,1,0
1764,1157,0,0,1,0
1764,1156,0,0,1,0
1762,1156,0,0,1,0
1761,1157,0,0,1,0
1762,1158,0,0,1,0
1763,1157,0,0,1,0
1762,1158,0,0,1,0
1763,1157,0,0,1,0
1762,1156,0,0,1,0
1763,1156,0,0,1,0
1761,1156,0,0,1,0
